key	kind	tags_zh_cn	tags_en	label_zh_cn	label_en	basis	owner_reviewed
sensory.acetic_vinegar	concept	醋味	vinegar	醋味	vinegar	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花); OWNER_COPY_REVIEW_2026-09-12 (sensory word, not the acid)	true
sensory.alcoholic	concept	酒精感	boozy	酒精感	boozy	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.almond	concept	杏仁	almond	杏仁	almond	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.anise	concept	八角	anise	八角	anise	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.apple	concept	苹果	apple	苹果	apple	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.ash	concept	灰烬	ash	灰烬	ash	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.astringent	concept	涩感	astringent	涩感	astringent	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.baked_bread	concept	烤面包	baked bread	烤面包	baked bread	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.banana	concept	香蕉	banana	香蕉	banana	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.bell_pepper	concept	青椒	bell pepper	青椒	bell pepper	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.bergamot	concept	佛手柑	bergamot	佛手柑	bergamot	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.bitter	concept	苦	bitter	苦	bitter	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.black_pepper	concept	黑胡椒	black pepper	黑胡椒	black pepper	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.black_tea	concept	红茶	black tea	红茶	black tea	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.blackberry	concept	黑莓	blackberry	黑莓	blackberry	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.blackcurrant	concept	黑加仑	blackcurrant	黑加仑	blackcurrant	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.blueberry	concept	蓝莓	blueberry	蓝莓	blueberry	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.brown_sugar	concept	红糖	brown sugar	红糖	brown sugar	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.burnt	concept	焦苦	burnt	焦苦	burnt	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.butter	concept	黄油	butter	黄油	butter	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.caramel	concept	焦糖	caramel	焦糖	caramel	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.cardamom	concept	小豆蔻	cardamom	小豆蔻	cardamom	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.cardboard	concept	纸板味	cardboard	纸板味	cardboard	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.cedar	concept	雪松	cedar	雪松	cedar	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.cereal_grain	concept	谷物	grain	谷物	grain	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.chamomile	concept	洋甘菊	chamomile	洋甘菊	chamomile	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.cherry	concept	车厘子	cherry	车厘子	cherry	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.cinnamon	concept	肉桂	cinnamon	肉桂	cinnamon	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.clove	concept	丁香	clove	丁香	clove	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.cocoa	concept	可可	cocoa	可可	cocoa	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.coconut	concept	椰子	coconut	椰子	coconut	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.creamy_mouthfeel	concept	奶油质地	creamy	奶油质地	creamy	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.dark_chocolate	concept	黑巧克力	dark chocolate	黑巧克力	dark chocolate	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.drying	concept	干涩	drying	干涩	drying	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.dusty	concept	灰尘味	dusty	灰尘味	dusty	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.earthy	concept	泥土	earthy	泥土	earthy	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.eucalyptus	concept	尤加利	eucalyptus	尤加利	eucalyptus	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.fermented_character	concept	发酵感	fermented	发酵感	fermented	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.fresh_grass	concept	青草	fresh grass	青草	fresh grass	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.fullness	concept	饱满	full	饱满	full	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.ginger	concept	姜	ginger	姜	ginger	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.grape	concept	葡萄	grape	葡萄	grape	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.grapefruit	concept	西柚	grapefruit	西柚	grapefruit	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.green_tea	concept	绿茶	green tea	绿茶	green tea	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.green_vegetal	concept	青蔬	vegetal	青蔬	vegetal	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.hay	concept	干草	hay	干草	hay	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.hazelnut	concept	榛果	hazelnut	榛果	hazelnut	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.honey	concept	蜂蜜	honey	蜂蜜	honey	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.jasmine	concept	茉莉花	jasmine	茉莉花	jasmine	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.leather	concept	皮革	leather	皮革	leather	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.lemon	concept	柠檬	lemon	柠檬	lemon	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.lemongrass	concept	柠檬草	lemongrass	柠檬草	lemongrass	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.lime	concept	青柠	lime	青柠	lime	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.malt	concept	麦芽	malt	麦芽	malt	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.mango	concept	芒果	mango	芒果	mango	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.metallic	concept	金属味	metallic	金属味	metallic	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.mint	concept	薄荷	mint	薄荷	mint	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.molasses	concept	糖蜜	molasses	糖蜜	molasses	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花); OWNER_COPY_REVIEW_2026-09-12 (molasses = 糖蜜; 黑糖 stays a consumer term)	true
sensory.moldy	concept	霉变	moldy	霉变	moldy	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.mouth_coating	concept	挂口	coating	挂口	coating	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.mushroom	concept	蘑菇	mushroom	蘑菇	mushroom	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
sensory.musty	concept	霉味	musty	霉味	musty	OWNER_APPROVED_2026-09-12_V1_CANONICAL_BASELINE_LEXICON; OPERATOR_DRAFT_2026-09-12_CN_SPECIALTY_VOCABULARY (owner rules: stone fruit->黄桃/杏桃, brown sugar->红糖/蔗糖, winey->厌氧酒香/朗姆, citrus->柑橘/柚子, floral->茉莉花/咖啡花)	true
